case_id,court_type,petition_type,decision_date,petitioner_count,petitioner_A_tag,petitioner_B_tag,petitioner_C_tag,petitioner_D_tag,subject_count,subject_A_tag,subject_B_tag,Child_counsel,child_count,child_A_tag,child_A_birthdate,child_A_age,child_A_custody,child_A_result,childA_Suspension_type,childA_Suspension_months,childA_Suspension_end_date,child_B_tag,child_B_birthdate,child_B_age,child_B_custody,child_B_result,child_B_Suspension_type,child_B_Suspension_months,child_B_Suspension_end_date,child_C_tag,child_C_birthdate,child_C_age,child_C_custody,child_C_result,child_C_Suspension_type,child_C_Suspension_months,child_C_Suspension_end_date,child_D_tag,child_D_birthdate,child_D_age,child_D_custody,child_D_result,child_D_Suspension_type,child_D_Suspension_months,child_D_Suspension_end_date,physical_abuse,neglect,medical_neglect,psychological_abuse,sexual_abuse,summary,judgment_factors
1010,家裁,親権喪失,2016-02-12,1,検察官,,,,1,[父],,FALSE,1,[子],1998-03-27,17,児童自立支援施設,親権喪失,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,"【事案】
事件本人は、未成年者に対し半年以上にわたり、10回近く性的虐待を繰り返し、強制わいせつ及び児童福祉法違反の罪により起訴され、未成年者は一時保護された。未成年者は軽度知的障害があり、自傷行為を繰り返している。
【判断】
事件本人による性的虐待があり、親権行使が不適当であることにより未成年者の利益を著しく害するものであるから親権喪失を認める。
※調査官調査を実施","【積極】

・繰り返し性的虐待実行
・身体的暴行による傷害
・軽度知的障害で抵抗困難
・父親面会拒否・影響継続
・強制わいせつ等で懲役判決確定

【消極】

（特になし）"
1020,家裁,親権喪失,1999-08-20,1,[母],,,,1,[父],,FALSE,1,[子A],1984-03-19,15,事件本人,却下,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,"【事案】
申立人と事件本人の別居後、長女である未成年者のほか、長男及び二男を含むきょうだい3名の連れ去り・連れ戻し行為を繰り返す中で、離婚判決により、未成年者については父である事件本人が、長男及び二男については母である申立人が、それぞれ親権者と定められた。その後も父母やきょうだい間での連れ去り・連れ戻し行為が繰り返された末に、未成年者に係る父の親権喪失宣告（乙事件）のほか、未成年者の親権者変更（父から母・甲事件）、二男の引渡し（父から母・丙事件）及び二男の親権者変更（母から父・丁事件）が申し立てられた。審判時点で、未成年者及び二男が事件本人と同居していた。
※調査官調査を実施。申立人は調査面接を拒否
【判断】
申立人と未成年者の関係が悪く、二男を挟んで申立人と対峙している実質的な相手方は、父ではなく、むしろ未成年者であるという状況があり、未成年者は、現在充実した高校生活を送っており、事件本人との関係は良好で、同人の抑うつ状態による稼働能力の低さを補い、同人を支えつつ、同人を親権者として生活していくことを望んでいること、申立人の家事能力や稼働能力もさほど高いわけでもないことから、親権喪失宣告事件（乙事件）は却下され、甲丙の各事件も却下され、二男の親権者変更（母から父・丁事件）のみ認容された。","【積極】
・過去に連れ去り、連れ戻しの繰り返し

【消極】
・安定した生活と健康・学業の維持
・子が事件本人方での居住継続希望表明
・父子関係良好・育児教育への積極的関与
・姉による支援と兄弟関係良好・母親の家事不得手とアルコール依存傾向
・緊張した母子関係と過去の暴力衝突
・引き渡しによる生活環境大幅変化"
1031,家裁,親権喪失,2023-08-22,1,[母],,,,2,[父],[養母],FALSE,2,[子A],2008-07-29,15,児童養護施設,親権喪失,,,,[子B],2013-09-18,9,児童養護施設,親権喪失,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,"【事案】
父は未成年者らに対し、殴る、蹴る、体を押さえつけるなどの暴力を日常的に振るった。養母も二女への暴力があり、父の暴力を積極的に止めようとせず事実上容認していた。
※調査官調査を実施。
【判断】
父の行為及び養母の行為はいずれも虐待に当たる。養母による養子縁組は、未成年者らの意向を確認せず、親族や児童相談所にも相談せずに調査官調査の終盤に行われ、親権者変更申立てを妨害することを主たる目的として行われた。父と養母による親権の行使は著しく不適当で、子の利益を著しく害するものであり、2年以内にその原因が消滅する見込みはない。","【積極】
・父の日常的な暴力・痣等の傷害  
・養母も身体的暴力  
・未成年者の意向を無視した親権変更妨害目的の養子縁組

【消極】  
・親権喪失により停止は不要  
・児童養護施設入所による保護"
1032,高裁,親権喪失,2023-12-21,1,[母],,,,2,[父],[養母],FALSE,2,[子A],2008-07-29,15,児童養護施設,親権喪失,,,,[子B],2013-09-18,10,児童養護施設,親権喪失,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,"【判断】
原審判の判断（親権喪失を認め、親権停止を却下）が相当であると判断し、原審の認定に加えて、養子縁組の経緯につき、未成年者らが養子縁組の意義を理解できる年齢に達していたにもかかわらず、抗告人ら（父と養母）が未成年者らの意向を全く確認しなかった点を指摘。
抗告人らによる虐待行為の謝罪や児童相談所の指導に従った交流があったとしても、日常的な暴力が未成年者らの心身に与えた影響を考慮すると、親権喪失の判断は覆らない。","【積極】
原審引用

【消極】
・児童相談所の指導に従い、面会や手紙・贈り物による交流を実施"
1040,家裁,親権喪失,2024-12-23,1,児童相談所長,,,,1,[母],,FALSE,1,[子],2020-01-23,4,里親,親権停止,一定期間,24,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,"【事案】
未成年者は、令和3年10月（1歳8か月）、事件本人により顔面を蹴るなどの暴行を受け、救急搬送された。このため、児相が一時保護した後、乳児院に入所させ、里親委託された。事件本人は措置入院となり、統合失調症等と診断され、令和4年6月10日、2年間の親権停止審判が確定したが、その後も継続的な治療や服薬が見られないため、再度の申立てがなされた。事件本人については、本審判を本案とする親権者の職務執行停止の保全処分がされているほか、申立てと同時に母の同意のない特別養子適格の確認の申立もされた。
※裁判所技官（精神科医）の意見あり。
【判断】
現時点で親権停止には理由があるが、一時保護の後には身体的虐待はなく、申立人の提出した精神科医師の意見書のほか、裁判所技官（精神科医）の報告書を踏まえれば、統合失調症などの精神疾患が寛解する見込みがないとまではいえないから、親権を2年間停止するにとどめる。","【積極】
・ネグレクト
・顔面を蹴るなどの暴行・傷害
・統合失調症等、入院措置
・その後、未成年者との面会等一切なし

【消極】
・身体的虐待は、日常的・継続的なものではない。
・継続的な治療を受ければ完全寛解の可能性あり
・自身の現状を自覚した意向、不当な行為や主張を繰り返しているわけではない。
・児相の特別養子縁組に向けた動きは、事件本人の治療や再統合に向けた適切な「保護者支援・指導」であったか疑問の余地あり"
1050,家裁,親権喪失,2004-12-09,1,児童相談所長,,,,2,[母],[養父],FALSE,1,[子],1994-04-25,10,児童福祉施設,親権喪失,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,"【事案】
未成年者は、事件本人である母から、同人の言うことを聞き入れなかった際に顔面などを平手で10回程度殴打されることがあり、養父からも同様の行為を受けていた。虐待通告を受けた児童相談所は未成年者につき一時保護措置をとり、さらに家庭裁判所の承認を得て児童福祉施設に長期入所させた。養父は、虐待と扱われたことに怒り、児相や教育委員会等に対し、激しい抗議や苦情を繰り返すようになり、教育委員会職員に傷害を負わせて逮捕勾留され、略式命令を受けた。父から母に対する親権者変更申立事件の審判係属中に養子縁組がされ、同申立ては却下された。未成年者は、事件本人らとの面会を強く拒絶する一方で、早く父と暮らしたいと述べている。
※調査官調査を実施
【判断】
未成年者を早期に退所させて家庭生活を送らせることが重要だが、事件本人らに引き渡すことは明らかに未成年者の福祉を害する。事件本人らは未成年者についての親権を児相への抗議行動や父に対する不当要求の手段としているのであって、このような態度は、未成年者の福祉を著しく損なうもので、親権の濫用に当たる。
※抗告棄却","【積極】
・母と養父による身体的暴行（顔面平手打ち）・痣や腫れ
・養父による入所措置に対する激しい抗議・苦情の繰り返し
・母は養父に盲目的に従う
・未成年者が養父・母に対して強い恐怖感と接触拒否
・長期間施設入所中・早期退所のために親権喪失が不可欠・養子縁組は父への親権変更妨害目的が疑われる

【消極】
（特になし）"
1061,家裁,親権喪失,2019-03-15,1,児童相談所長,,,,1,[父],,FALSE,1,[子],2009-03-16,9,児童養護施設,却下,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,"【事案】
未成年者の母は、夫である事件本人からの飲酒の上での暴力から暴力から逃れるために避難し、未成年者は児童養護施設に入所した。その後、事件本人と未成年者の母は、未成年者の親権者を事件本人と定めて協議離婚した。事件本人は、未成年者の児童養護施設入所後、犯罪行為による服役を繰り返している。
【判断】
未成年者は児童養護施設に入所しており、親権者による不適切な監護養育から切り離されて保護されている。親権者の問題行動については、児童福祉法に基づく措置で対応可能であり、親権を喪失させる特段の事情はない。","【積極】
・強制わいせつ・公然わいせつ・暴力等で実刑前科多数
・服役後も安定した就労がなく、飲酒に走る生活
・酩酊状態で施設へ押しかける等の問題行動を繰り返し
・未成年者の記憶も乏しい

【消極】
・未成年者は児童養護施設に入所中で、保護・指導体制が整っている
・児童福祉法28条による入所措置や面会通信・接近禁止で問題行動への対応が可能
・親権喪失・停止が必要な特段の事情（手術・就職等）に該当せず"
1062,高裁,親権喪失,2019-05-27,1,児童相談所長,,,,1,[父],,FALSE,1,[子],2009-03-16,10,児童養護施設,親権喪失,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,"【判断】
事件本人は、これまでの間、未成年者の養育に必要な措置をとっておらず、養育、監護の実績はほとんどない上、アルコール依存の程度が高く、元の配偶者に対する暴力を含めその暴力傾向が強いのであって、その親権の行使の方法において適切を欠く程度が著しく高く、その親権を行使させると、子の健全な成育のために著しく不適当である。このような事件本人の状況は、児相のこれまでの指導をもってしても、２年程度では改善を望めず、事件本人には親権喪失事由がある。","【積極】
・飲酒・就労不安定で経済的に困窮
・過去の暴力行為・傷害罪・窃盗罪等前科多数
・長期間施設で生活、親との同居短期間
・児相の指導に従わず
・酒気帯び状態で児童養護施設を訪れるなど不適切な行動
・未成年者の登下校時に帰園拒否・連れ去りのおそれあり
・配偶者への暴力や性暴力の前歴、子への暴力リスク

【消極】
（特になし）"
1070,家裁,親権喪失,1979-07-06,1,児童相談所長,,,,1,[父],,FALSE,1,[子],1965-07-12,13,一時保護,親権喪失,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,"【事案】
事件本人は長女に性交を強要していたほか、二女である未成年者に対しても、暴力による性交強要、裸にすることによる虐待、飲酒と監護怠慢があった。事件本人は審判前の仮処分として親権行使停止処分を受けて確定していた。
※調査官調査を実施。
【判断】
事件本人はその親権を濫用し、未成年者を虐待し、その福祉を著しく損っており、未成年者を事件本人の親権に服させることは不相当である。","【積極】
・未成年者に対する性交の強要・暴力・虐待
・監護義務の著しい怠慢と飲酒による育児放棄
・未成年者が自宅から逃げ出すほどの危険な環境

【消極】
（特になし）"
1080,家裁,親権喪失,1980-09-29,1,[母方祖母],,,,1,[父],,FALSE,2,[子A],1968-01-01,12,申立人,親権喪失,,,,[子B],1972-10-01,7,申立人,親権喪失,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,"【事案】
事件本人は未成年者ら及びその母（申立人の子）との別居後、所在不明となり、婚姻費用も送金しなかったため、未成年者ら及びその母は、申立人と同居し、その援助も受けて生活していた。母は、昭和54年6月9日、交通事故死したところ、事件本人はそれを知って申立人に連絡をとり、加害者との面会を要求したり、配偶者として保険金を受領するなどし、未成年者両名を引き取りたいとの意向を示した。事件本人は職業及び常居所を明らかにせず、裁判所との連絡も同人の叔父を介している状況で、親権者職務執行停止の仮処分を受けている。
※調査官調査を実施。
【判断】
事件本人は、自らの責任で別居状態を作出しながら、その後未成年の子の養育監護について何らの責任をも果すことなく７年間にわたってこれを遺棄してきたものであるから、親権の消極的な濫用に当たる。","【積極】
・未成年者の監護・養育を長期間放棄、遺棄状態
・暴力行為や金銭の不正使用（保険金費消）
・交流・面会も全くなく、母の死亡後も養育に関与せず

【消極】
（特になし）"
1090,家裁,親権喪失,2000-02-23,1,児童相談所長,,,,1,[父],,FALSE,3,[子A],,,児童養護施設,親権喪失,,,,[子B],,,児童養護施設,親権喪失,,,,[子C],,,児童養護施設,親権喪失,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,"【事案】
事件本人が未成年者らに対して日常的に身体的・性的虐待を加えていた。
※調査官調査を実施。
【判断】
事件本人の行為により未成年者らの福祉が著しく損なわれている。","【積極】
・養女・長男・長女に対する性的、身体的虐待が日常的
・逮捕後も未成年者の引き取りを強要し再度虐待するおそれ

【消極】
（特になし）"
1100,高裁,親権喪失,1980-03-21,1,[父方祖父],,,,1,[母],,FALSE,4,[子A],,,申立人,却下,,,,[子B],,,申立人,却下,,,,[子C],,,申立人,却下,,,,[子D],,,申立人,却下,,,,FALSE,FALSE,FALSE,FALSE,FALSE,"【事案】
事件本人は夫亡き後、他の男性と情交関係持ち、外泊するようになった。事件本人の右外泊を快からず思つていた抗告人（申立人）ら親族は、事件本人欠席のまま親族会議を開き、「子供四人は抗告人方へ残し、事件本人を家から出すこと」を決めるに至った。事件本人は、かねて抗告人に対し、自分は従前どおり抗告人方で子らと生活したいとの希望を表明し、ただ上記男性との関係を維持することは認めてほしいと要請していたが、抗告人らはこれを聞き入れず、右会議の結果どおりにするよう事件本人に迫ったので、事件本人はやむをえず子らを置いたまま抗告人方を出て、上記男性と結婚するに至った。
【判断】
事件本人は夫亡き後、他の男性と関係を持ち続けたが、それにより子の健全育成に悪影響を及ぼしておらず、直ちに著しい不行跡であると断定することは酷であるし、母として子らを監護養育する意思のある事件本人を子らと別居せざるを得なくさせ、親権を事実上行使し得なくさせたのは抗告人ら親族の圧力によるものであり、親権を濫用したとも認められない。","【積極】
・未成年者らと別居し生活費等の送金がない
・実質上親権を全く行使していない

【消極】
・無職無収入で遺産等の取得もなく送金ないのもやむなし
・未成年者らへの食事の用意や洗濯等家事を継続
・未成年者らを置いて出て行ったのは親族の圧力による
・情交関係は非難できないほどの不行跡ではない
・母として未成年者らを監護養育する意思"
1110,家裁,親権喪失,2022-09-27,1,児童相談所長,,,,2,[養祖父],[祖母],FALSE,1,[孫],2021-01-21,1,その他施設,親権停止,特定の日付まで,,2024-05-02,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,"【事案】
代行親権者である養祖父、祖母の代行親権喪失が求められた事案。未成年者は母が14歳8か月で出産した子であり、生後5日で一時保護され、その後施設で生活している。父は戸籍上不明。母も、祖母からネグレクトを受けた児童として一時保護を受けたこともあり、現在は定時制高校に通学している。
※調査官調査を実施。
【判断】
祖母は不登校の母を含む子らを自宅に残したまま何日間も不在になるなど、監護が不十分であり、関係機関からの指導にも従わず、子（特に母）への適切な管理・指導ができていなかった。母の妊娠や出産準備においても情報共有や支援を拒否し、必要な環境整備ができていなかった。祖母は養祖父の薬物問題に無関心であり、同人が刑務所収容されても適切な対応を行わず、社会的責任が欠如していた。母自身も知的な遅れや生活管理能力の不足により、未成年者の監護を担うには不適格であり、祖母が未成年者を養育することは困難で不適当であるが、母が2年以内に成人するため、代行親権の喪失ではなく、母の成人するまでの停止が相当。","【積極】
・代行親権者・養祖父の監護が不十分・不適切
・養祖父が薬物犯罪で服役中
・母・代行親権者とも妊娠・出産準備が不十分で支援を拒否
・未成年者の不登校や生活リズムの乱れが続く
・監護補助者の具体的支援見通しが不明

【消極】
・祖母は一時期支援を受け入れる姿勢
・祖母は未成年者の引き取りを将来的に希望"
